set,numero,lingua,url_carta,url_immagine,url_immagine_grande
PFL,123,en,https://limitlesstcg.com/cards/en/PFL/123,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_123_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_123_R_EN_LG.png
PFL,129,en,https://limitlesstcg.com/cards/en/PFL/129,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_129_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_129_R_EN_LG.png
MEG,165,en,https://limitlesstcg.com/cards/en/MEG/165,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_165_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_165_R_EN_LG.png
MEG,166,en,https://limitlesstcg.com/cards/en/MEG/166,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_166_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_166_R_EN_LG.png
MEG,167,en,https://limitlesstcg.com/cards/en/MEG/167,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_167_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_167_R_EN_LG.png
MEG,168,en,https://limitlesstcg.com/cards/en/MEG/168,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_168_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_168_R_EN_LG.png
MEG,169,en,https://limitlesstcg.com/cards/en/MEG/169,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_169_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_169_R_EN_LG.png
MEG,170,en,https://limitlesstcg.com/cards/en/MEG/170,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_170_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_170_R_EN_LG.png
MEG,171,en,https://limitlesstcg.com/cards/en/MEG/171,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_171_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_171_R_EN_LG.png
MEG,172,en,https://limitlesstcg.com/cards/en/MEG/172,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_172_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_172_R_EN_LG.png
MEG,173,en,https://limitlesstcg.com/cards/en/MEG/173,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_173_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_173_R_EN_LG.png
MEG,174,en,https://limitlesstcg.com/cards/en/MEG/174,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_174_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_174_R_EN_LG.png
MEG,175,en,https://limitlesstcg.com/cards/en/MEG/175,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_175_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_175_R_EN_LG.png
MEG,176,en,https://limitlesstcg.com/cards/en/MEG/176,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_176_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_176_R_EN_LG.png
MEG,183,en,https://limitlesstcg.com/cards/en/MEG/183,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_183_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_183_R_EN_LG.png
MEG,184,en,https://limitlesstcg.com/cards/en/MEG/184,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_184_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_184_R_EN_LG.png
MEG,185,en,https://limitlesstcg.com/cards/en/MEG/185,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_185_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_185_R_EN_LG.png
MEG,186,en,https://limitlesstcg.com/cards/en/MEG/186,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_186_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_186_R_EN_LG.png
BLK,162,en,https://limitlesstcg.com/cards/en/BLK/162,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_162_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_162_R_EN_LG.png
BLK,163,en,https://limitlesstcg.com/cards/en/BLK/163,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_163_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_163_R_EN_LG.png
BLK,170,en,https://limitlesstcg.com/cards/en/BLK/170,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_170_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_170_R_EN_LG.png
WHT,163,en,https://limitlesstcg.com/cards/en/WHT/163,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_163_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_163_R_EN_LG.png
WHT,164,en,https://limitlesstcg.com/cards/en/WHT/164,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_164_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_164_R_EN_LG.png
WHT,171,en,https://limitlesstcg.com/cards/en/WHT/171,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_171_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_171_R_EN_LG.png
DRI,220,en,https://limitlesstcg.com/cards/en/DRI/220,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_220_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_220_R_EN_LG.png
DRI,221,en,https://limitlesstcg.com/cards/en/DRI/221,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_221_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_221_R_EN_LG.png
DRI,222,en,https://limitlesstcg.com/cards/en/DRI/222,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_222_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_222_R_EN_LG.png
DRI,223,en,https://limitlesstcg.com/cards/en/DRI/223,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_223_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_223_R_EN_LG.png
DRI,224,en,https://limitlesstcg.com/cards/en/DRI/224,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_224_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_224_R_EN_LG.png
DRI,225,en,https://limitlesstcg.com/cards/en/DRI/225,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_225_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_225_R_EN_LG.png
